aa,1
aal,1
aapl,89
ab,19
abandons,1
abbv,1
abc,2
aberdeen,2
abov,1
acad,1
academics,1
accelerate,1
accrue,1
accumulate,2
accumulating,4
accumulation,6
accused,3
accuses,1
ace,2
acerta,7
acinvestorblog,2
ackman,2
acom,1
acquire,2
acquired,2
acquires,4
acquisition,8
acquisitions,4
across,1
act,1
actelion,2
acting,3
action,13
active,3
activision,1
actually,2
ad,1
adbe,3
add,3
added,14
adding,4
addon,1
adds,7
ades,2
admiral,3
admits,1
adobe,1
adsk,1
adults,1
advance,3
advanced,1
advert,2
advice,4
adx,2
aegn,1
aer,5
aet,1
affect,2
affects,2
affirms,2
afsi,1
afterhour,2
afternoon,2
agains,1
agencies,2
agency,3
agenda,1
aggreko,1
agn,3
ago,2
agree,4
agreement,2
agreements,2
agricultural,2
agu,1
ahead,12
ahs,1
aht,1
aims,2
air,3
airline,2
ak,1
aks,1
aldi,2
alert,2
alerts,4
ales,1
algeria,1
alibaba,2
alior,1
allan,1
allergen,2
alliance,3
allshare,2
allstarcharts,1
alltime,2
almost,7
along,2
alpha,1
alphabet,2
alphatrends,1
alr,1
already,2
also,9
although,1
altr,1
always,1
amazing,8
amazon,4
amazons,1
ambitions,2
amcn,1
amd,1
amended,2
america,1
american,6
amgn,1
amid,5
among,2
amrn,4
amtd,1
amzn,18
anaesthetics,2
analysishigh,1
analyst,10
analysts,3
andor,1
andrewnyquist,1
android,2
andy,1
anglo,1
angola,4
anheuserbusch,1
announce,3
announced,2
announcement,2
announces,9
annual,5
another,14
anyone,2
anything,2
ap,1
apparent,1
appealing,2
appetite,2
apple,19
applies,4
appoint,4
appointment,4
appoints,8
approach,2
approaches,2
approval,11
approve,3
approves,9
apr,1
april,3
arabian,1
aramco,1
area,13
areanext,2
argument,2
argus,1
aria,3
arm,11
arna,1
around,6
arrival,2
articles,1
asahi,3
ascending,7
asda,4
asdfllc,1
ashtead,6
asia,2
asian,2
asmb,1
asos,1
aspect,1
aspen,1
asset,5
assets,11
associated,1
asthma,4
astrazenec,1
astrazeneca,35
astrazenecas,5
astx,1
athn,1
att,1
attack,4
attacks,2
attempt,2
attempts,1
attracts,2
atvi,3
aug,2
australia,1
authentication,3
auto,3
autocharts,1
available,2
average,6
avg,2
avgo,1
aviva,14
avivas,2
avoidance,2
awaits,2
award,2
away,7
awful,4
awr,1
axa,4
axdx,1
axe,4
axes,1
axp,5
ba,2
baba,1
baby,2
bac,6
back,42
backburner,1
backs,8
bad,11
bae,4
baer,1
bag,1
bags,2
bailout,1
baird,3
balance,4
balfour,1
banco,3
bancorp,3
bancorpsouth,1
bancostheyre,2
bang,1
bank,17
banking,2
bankruptcy,2
banks,5
barclays,25
barratt,2
barrons,2
barronsonline,2
base,8
based,1
basing,4
basis,2
bat,1
battle,1
baxalta,12
bay,1
bb,3
bbby,2
bbcn,1
bbm,2
bbry,11
bbva,1
bc,1
bear,8
bearish,15
bears,3
beat,6
beaten,2
beatendown,1
beating,3
beatty,1
become,1
becoming,2
beer,3
beers,3
beginning,4
believe,2
bell,3
belt,2
belts,2
benchmark,4
berkshire,10
bes,2
best,6
beta,1
bets,2
better,3
betting,2
beverage,2
beyond,3
bg,15
bhp,11
bias,3
bib,1
bid,27
bidders,2
bidding,4
bids,3
big,28
biggest,3
biggies,2
bigmac,1
bilfinger,1
billion,43
billionplus,1
billionpound,2
billions,2
billiton,7
billitons,1
bingeeating,1
binkster,1
bioc,2
biotech,1
bita,1
bitter,1
biv,1
bk,1
black,2
blames,3
blast,2
bleeding,2
blessing,2
blinkbox,4
blip,2
blizzard,1
bln,15
bloated,2
blockchain,2
blood,1
bloomberg,2
blow,1
blows,2
blrx,1
blue,2
bman,1
bmo,3
bn,11
bno,1
bo,3
board,13
boardroom,2
boat,3
bob,1
bobe,1
bod,1
boeing,1
boerse,4
boerselse,4
bond,4
bonds,1
bone,1
book,3
booking,1
books,7
boost,15
boosted,5
boosts,4
borealis,1
bored,1
boss,5
bosss,1
bot,6
bottom,22
bottoming,2
bottoms,1
bought,12
bounce,31
bounced,2
bounces,3
bouncing,4
bout,2
bowl,1
bp,13
bphs,2
bpi,6
bpm,1
branding,2
brazil,3
brcm,2
breached,2
breadth,3
break,34
breakable,2
breakdown,2
breaking,21
breakingviews,1
breakou,1
breakout,45
breaks,6
breakup,4
brealout,1
breath,2
breather,2
brent,1
brewer,1
brewing,2
brexit,7
brian,1
brianwieser,1
bribery,2
brick,2
bricolage,4
bridge,1
briefaviva,1
briefing,1
brieflegal,1
bright,1
bring,2
bringing,2
britains,15
british,5
britvic,1
brkb,1
broad,2
broadband,2
broke,8
broken,9
broker,4
brokerage,2
brooklynbandit,1
bros,2
brother,1
brought,1
brse,5
brutal,2
brydon,1
bsx,1
bto,1
bubble,2
bucks,2
budget,3
buffett,1
buffetts,2
builder,1
building,3
builds,2
bulk,2
bull,12
bullhorn,1
bullish,33
bulls,11
bullya,1
bumping,2
bumpy,1
bunny,1
bunzl,1
buoyed,1
burberry,1
burgers,1
business,20
businesses,3
buy,98
buyable,2
buyback,2
buybacks,1
buyer,1
buyers,1
buying,10
buyout,4
buyprice,1
buys,16
bvhealthcare,1
bwld,2
bxs,1
bye,4
cable,1
cachet,1
cadbury,1
cadburys,1
cafn,1
cairn,1
caixabank,4
california,3
call,6
calling,2
calls,28
came,4
cameras,2
camt,1
canadas,4
canadian,1
cancer,16
candle,4
candlestick,1
cannot,1
capable,1
capita,1
capital,15
capped,1
caprelsa,2
caps,1
car,2
care,1
careful,5
cares,1
carl,2
carnival,1
carphone,5
carphones,1
cars,9
case,1
caseus,1
cash,14
cashcow,1
casinos,1
castle,2
cat,2
catalyst,4
catch,2
caterpillar,1
catskillfishing,1
cautions,1
cautious,1
cautiously,1
cbs,1
cc,2
cdti,1
celg,4
centrica,3
cents,1
ceo,33
ceos,1
cern,1
certain,1
cfo,1
cfrazierjr,1
cgrantwsj,1
chain,5
chairman,12
challendge,2
challenge,2
challenges,2
challenging,4
chance,2
change,4
changed,1
changes,2
channel,10
channelwill,1
charge,2
chart,30
chartered,10
chartereds,1
chartology,1
charts,14
chase,2
chases,2
chasing,2
chaudhuri,2
cheap,1
check,1
cheer,3
cherries,1
chessnwine,1
chevron,1
chief,12
chiefs,2
chime,1
china,12
